,rcpt,year,hiv_treat_dah_20,hiv_prev_dah_20,hiv_pmtct_dah_20,hiv_other_dah_20,hiv_ct_dah_20,hiv_ovc_dah_20,hiv_care_dah_20,hiv_hss_other_dah_20,hiv_hss_hrh_dah_20,hiv_amr_dah_20,hiv_dah_total,care_total_mean,care_total_lower,care_total_upper,prev_total_mean,prev_total_lower,prev_total_upper,other_total_mean,other_total_lower,other_total_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper
0,AGO,2003,39000000.0,420000000.0,1000000.0,8708000000.0,0.0,23000000.0,23000000.0,117000000.0,27000000.0,0.0,9358000000.0,2302000.0,1308000.0,3684000.0,2766000.0,1680000.0,4232000.0,10063000.0,8714000.0,11995000.0,7571000.0,4711000.0,11462000.0
1,AGO,2004,35000000.0,147000000.0,0.0,15970000000.0,45000000.0,3000000.0,8000000.0,527000000.0,43000000.0,0.0,16778000000.0,2782000.0,1657000.0,4365000.0,2877000.0,1722000.0,4696000.0,15681000.0,14200000.0,17877000.0,8868000.0,5622000.0,13279000.0
2,AGO,2005,2367000000.0,3351000000.0,560000000.0,15882000000.0,903000000.0,772000000.0,916000000.0,4507000000.0,221000000.0,0.0,29479000000.0,6679000.0,5271000.0,8823000.0,6883000.0,5631000.0,8705000.0,23561000.0,21985000.0,25874000.0,10836000.0,7240000.0,16263000.0
3,AGO,2006,2436000000.0,3816000000.0,507000000.0,15107000000.0,792000000.0,267000000.0,854000000.0,3100000000.0,786000000.0,264000000.0,27929000000.0,8131000.0,6195000.0,10917000.0,7630000.0,5901000.0,9863000.0,20673000.0,18568000.0,23710000.0,14664000.0,9704000.0,21393000.0
4,AGO,2007,1610000000.0,5395000000.0,1336000000.0,4728000000.0,1215000000.0,508000000.0,655000000.0,4274000000.0,858000000.0,0.0,20579000000.0,8984000.0,6074000.0,13160000.0,10996000.0,8737000.0,14225000.0,16048000.0,13088000.0,19685000.0,19716000.0,12274000.0,29267000.0
5,AGO,2008,4382000000.0,9397000000.0,1623000000.0,3181000000.0,2089000000.0,615000000.0,1985000000.0,8356000000.0,306000000.0,30000000.0,31964000000.0,15885000.0,11984000.0,21269000.0,17642000.0,14965000.0,21658000.0,23082000.0,19449000.0,28328000.0,25473000.0,16856000.0,38247000.0
6,AGO,2009,2387000000.0,6408000000.0,863000000.0,3640000000.0,1142000000.0,294000000.0,1299000000.0,6694000000.0,1133000000.0,149000000.0,24009000000.0,15618000.0,11063000.0,22385000.0,15415000.0,12409000.0,19753000.0,23669000.0,19388000.0,29452000.0,30834000.0,20041000.0,45237000.0
7,AGO,2010,2807000000.0,8961000000.0,1358000000.0,1588000000.0,1801000000.0,426000000.0,1365000000.0,9386000000.0,679000000.0,213000000.0,28584000000.0,19349000.0,13623000.0,27718000.0,17362000.0,13881000.0,22419000.0,24593000.0,19856000.0,31733000.0,36415000.0,23755000.0,53173000.0
8,AGO,2011,865000000.0,10416000000.0,1229000000.0,1292000000.0,1199000000.0,130000000.0,482000000.0,8705000000.0,562000000.0,162000000.0,25042000000.0,20225000.0,12934000.0,30429000.0,19722000.0,15811000.0,25969000.0,24934000.0,19150000.0,32970000.0,43389000.0,28636000.0,64158000.0
9,AGO,2012,959000000.0,8688000000.0,649000000.0,1042000000.0,1084000000.0,1000000.0,39000000.0,8832000000.0,1168000000.0,79000000.0,22541000000.0,24233000.0,15847000.0,36005000.0,19138000.0,14703000.0,25902000.0,28062000.0,21332000.0,36944000.0,51955000.0,34771000.0,74749000.0
10,AGO,2013,3232000000.0,6752000000.0,629000000.0,3562000000.0,791000000.0,1000000.0,19000000.0,16696000000.0,2147000000.0,45000000.0,33874000000.0,31430000.0,21941000.0,45087000.0,19331000.0,14358000.0,27796000.0,41552000.0,34346000.0,51685000.0,61482000.0,42812000.0,86751000.0
11,AGO,2014,57000000.0,4459000000.0,1002000000.0,934000000.0,1084000000.0,1000000.0,8000000.0,6235000000.0,1353000000.0,15000000.0,15148000000.0,31838000.0,20730000.0,46359000.0,18947000.0,13159000.0,27729000.0,30852000.0,23036000.0,42116000.0,68607000.0,47722000.0,98244000.0
12,AGO,2015,1592000000.0,2484000000.0,2446000000.0,816000000.0,2063000000.0,80000000.0,1550000000.0,4558000000.0,1824000000.0,15000000.0,17428000000.0,35989000.0,24777000.0,52077000.0,18966000.0,13332000.0,27416000.0,31730000.0,23906000.0,42217000.0,70759000.0,50249000.0,100012000.0
13,AGO,2016,7255000000.0,1889000000.0,177000000.0,2971000000.0,890000000.0,3000000.0,7824000000.0,4293000000.0,1079000000.0,3000000.0,26384000000.0,39729000.0,28151000.0,55241000.0,18969000.0,13507000.0,26838000.0,35438000.0,27384000.0,47036000.0,67927000.0,46917000.0,99753000.0
14,AGO,2017,4721000000.0,3255000000.0,139000000.0,1594000000.0,2477000000.0,4000000.0,2308000000.0,4427000000.0,2209000000.0,3000000.0,21137000000.0,35757000.0,23627000.0,53983000.0,16215000.0,10503000.0,24667000.0,32509000.0,24103000.0,45267000.0,63680000.0,40736000.0,95206000.0
15,BDI,2003,216000000.0,369000000.0,39000000.0,4974000000.0,19000000.0,754000000.0,49000000.0,325000000.0,28000000.0,0.0,6773000000.0,1617000.0,1085000.0,2335000.0,2206000.0,1504000.0,3082000.0,6575000.0,6050000.0,7223000.0,3913000.0,2554000.0,5531000.0
16,BDI,2004,726000000.0,1897000000.0,151000000.0,7082000000.0,72000000.0,1150000000.0,169000000.0,1588000000.0,79000000.0,0.0,12914000000.0,2489000.0,1921000.0,3246000.0,3890000.0,3160000.0,4883000.0,10033000.0,9516000.0,10774000.0,4666000.0,3218000.0,6592000.0
17,BDI,2005,1013000000.0,1855000000.0,240000000.0,8530000000.0,104000000.0,1984000000.0,247000000.0,1774000000.0,110000000.0,0.0,15857000000.0,3095000.0,2486000.0,3898000.0,4418000.0,3605000.0,5518000.0,12129000.0,11550000.0,12925000.0,5461000.0,3870000.0,7411000.0
18,BDI,2006,1345000000.0,2607000000.0,297000000.0,14485000000.0,127000000.0,1553000000.0,356000000.0,2147000000.0,227000000.0,0.0,23144000000.0,3753000.0,3112000.0,4677000.0,5734000.0,4835000.0,6912000.0,18685000.0,18087000.0,19529000.0,6389000.0,4704000.0,8403000.0
19,BDI,2007,1082000000.0,2293000000.0,233000000.0,9533000000.0,123000000.0,868000000.0,359000000.0,3061000000.0,205000000.0,0.0,17757000000.0,3744000.0,3089000.0,4615000.0,5727000.0,4862000.0,6880000.0,14407000.0,13825000.0,15212000.0,7116000.0,5492000.0,9032000.0
20,BDI,2008,2564000000.0,4984000000.0,569000000.0,4663000000.0,281000000.0,1216000000.0,646000000.0,5937000000.0,1286000000.0,0.0,22146000000.0,5339000.0,4707000.0,6187000.0,8554000.0,7724000.0,9745000.0,14066000.0,13499000.0,14812000.0,6499000.0,4972000.0,8388000.0
21,BDI,2009,4517000000.0,6561000000.0,3018000000.0,5075000000.0,212000000.0,1790000000.0,3108000000.0,9082000000.0,916000000.0,0.0,34279000000.0,9363000.0,8740000.0,10199000.0,12084000.0,11241000.0,13137000.0,16912000.0,16380000.0,17626000.0,5298000.0,3883000.0,7016000.0
22,BDI,2010,1445000000.0,2897000000.0,1012000000.0,6349000000.0,70000000.0,1308000000.0,1025000000.0,2198000000.0,2468000000.0,0.0,18772000000.0,3987000.0,3456000.0,4698000.0,5958000.0,5207000.0,6934000.0,14520000.0,14034000.0,15123000.0,4242000.0,2931000.0,5754000.0
23,BDI,2011,2578000000.0,4532000000.0,2577000000.0,6283000000.0,1000000.0,992000000.0,2585000000.0,5441000000.0,2452000000.0,0.0,27441000000.0,6439000.0,5960000.0,7088000.0,8538000.0,7907000.0,9472000.0,15387000.0,14974000.0,15973000.0,3381000.0,2358000.0,4770000.0
24,BDI,2012,3499000000.0,6618000000.0,995000000.0,1779000000.0,942000000.0,558000000.0,1901000000.0,4418000000.0,960000000.0,0.0,21670000000.0,6580000.0,6132000.0,7138000.0,8977000.0,8373000.0,9779000.0,9512000.0,9131000.0,10031000.0,2700000.0,1687000.0,3879000.0
25,BDI,2013,3015000000.0,7020000000.0,1350000000.0,1363000000.0,987000000.0,824000000.0,2342000000.0,5394000000.0,1581000000.0,0.0,23876000000.0,6380000.0,5996000.0,6905000.0,9401000.0,8861000.0,10148000.0,10555000.0,10232000.0,10994000.0,2224000.0,1386000.0,3304000.0
26,BDI,2014,2992000000.0,6302000000.0,1557000000.0,1686000000.0,832000000.0,516000000.0,1650000000.0,4937000000.0,1358000000.0,0.0,21830000000.0,5528000.0,5169000.0,6047000.0,9053000.0,8555000.0,9784000.0,9531000.0,9234000.0,9980000.0,1864000.0,1160000.0,2866000.0
27,BDI,2015,3045000000.0,4022000000.0,2186000000.0,879000000.0,1052000000.0,1366000000.0,1072000000.0,4779000000.0,3282000000.0,0.0,21683000000.0,4964000.0,4616000.0,5436000.0,7395000.0,6908000.0,8058000.0,10784000.0,10488000.0,11187000.0,1678000.0,1029000.0,2550000.0
28,BDI,2016,2615000000.0,2666000000.0,2905000000.0,2658000000.0,1497000000.0,465000000.0,1946000000.0,6379000000.0,1433000000.0,0.0,22564000000.0,3770000.0,3432000.0,4277000.0,6178000.0,5742000.0,6862000.0,12157000.0,11887000.0,12568000.0,1597000.0,997000.0,2421000.0
29,BDI,2017,10176000000.0,4101000000.0,1764000000.0,5389000000.0,2450000000.0,687000000.0,6587000000.0,5796000000.0,2372000000.0,0.0,39322000000.0,8341000.0,8007000.0,8826000.0,9253000.0,8789000.0,9937000.0,22235000.0,21964000.0,22640000.0,1516000.0,918000.0,2312000.0
30,BEN,2003,307000000.0,592000000.0,102000000.0,8998000000.0,82000000.0,22000000.0,116000000.0,335000000.0,7000000.0,0.0,10561000000.0,2029000.0,1415000.0,2871000.0,2154000.0,1598000.0,2990000.0,8426000.0,8120000.0,8860000.0,2969000.0,1899000.0,4417000.0
31,BEN,2004,1171000000.0,1823000000.0,423000000.0,13304000000.0,341000000.0,83000000.0,459000000.0,1598000000.0,17000000.0,0.0,19219000000.0,3394000.0,2721000.0,4313000.0,3804000.0,3198000.0,4623000.0,13798000.0,13467000.0,14258000.0,3144000.0,2024000.0,4529000.0
32,BEN,2005,1988000000.0,3672000000.0,733000000.0,8977000000.0,583000000.0,134000000.0,789000000.0,2339000000.0,17000000.0,0.0,19232000000.0,4833000.0,4125000.0,5854000.0,5802000.0,5178000.0,6688000.0,12658000.0,12295000.0,13154000.0,3416000.0,2344000.0,4750000.0
33,BEN,2006,1842000000.0,3280000000.0,625000000.0,11631000000.0,495000000.0,116000000.0,674000000.0,2069000000.0,364000000.0,0.0,21096000000.0,5090000.0,4236000.0,6245000.0,6324000.0,5590000.0,7259000.0,13643000.0,13253000.0,14202000.0,3891000.0,2793000.0,5203000.0
34,BEN,2007,1557000000.0,2191000000.0,515000000.0,7697000000.0,414000000.0,111000000.0,577000000.0,1747000000.0,316000000.0,0.0,15125000000.0,5900000.0,5027000.0,7007000.0,6384000.0,5638000.0,7371000.0,9557000.0,9165000.0,10059000.0,4542000.0,3502000.0,5819000.0
35,BEN,2008,1239000000.0,3017000000.0,439000000.0,4492000000.0,356000000.0,904000000.0,496000000.0,2332000000.0,21000000.0,0.0,13296000000.0,6572000.0,5663000.0,7776000.0,7647000.0,6867000.0,8646000.0,8327000.0,7941000.0,8823000.0,5752000.0,4565000.0,7103000.0
36,BEN,2009,399000000.0,4077000000.0,513000000.0,5341000000.0,347000000.0,1029000000.0,1034000000.0,5015000000.0,684000000.0,0.0,18439000000.0,6451000.0,5391000.0,7629000.0,9082000.0,8095000.0,10202000.0,12225000.0,11800000.0,12752000.0,7291000.0,5942000.0,8767000.0
37,BEN,2010,3033000000.0,10814000000.0,1317000000.0,6806000000.0,1018000000.0,582000000.0,2943000000.0,7573000000.0,903000000.0,20000000.0,35009000000.0,10445000.0,9473000.0,11679000.0,14967000.0,14124000.0,15973000.0,15496000.0,15144000.0,15934000.0,7516000.0,6183000.0,8979000.0
38,BEN,2011,3516000000.0,8586000000.0,1199000000.0,5404000000.0,973000000.0,435000000.0,2360000000.0,5040000000.0,925000000.0,17000000.0,28455000000.0,9197000.0,8284000.0,10290000.0,11718000.0,10941000.0,12729000.0,11783000.0,11475000.0,12185000.0,7064000.0,5732000.0,8631000.0
39,BEN,2012,40000000.0,3293000000.0,35000000.0,4086000000.0,23000000.0,166000000.0,526000000.0,758000000.0,568000000.0,7000000.0,9502000000.0,3889000.0,3121000.0,4860000.0,5144000.0,4439000.0,6046000.0,5323000.0,5065000.0,5675000.0,6347000.0,5136000.0,7731000.0
40,BEN,2013,1929000000.0,3576000000.0,712000000.0,1993000000.0,568000000.0,138000000.0,783000000.0,2411000000.0,725000000.0,14000000.0,12849000000.0,5722000.0,5051000.0,6588000.0,6872000.0,6187000.0,7791000.0,6817000.0,6569000.0,7112000.0,5677000.0,4367000.0,7218000.0
41,BEN,2014,3099000000.0,4231000000.0,1095000000.0,2577000000.0,884000000.0,207000000.0,1426000000.0,3725000000.0,579000000.0,1000000.0,17824000000.0,6927000.0,6251000.0,7875000.0,7881000.0,7268000.0,8716000.0,8399000.0,8170000.0,8686000.0,5236000.0,4012000.0,6796000.0
42,BEN,2015,2401000000.0,3175000000.0,810000000.0,1694000000.0,653000000.0,153000000.0,1179000000.0,2830000000.0,627000000.0,1000000.0,13523000000.0,5917000.0,5211000.0,6790000.0,6394000.0,5774000.0,7184000.0,6470000.0,6252000.0,6758000.0,5236000.0,3894000.0,6833000.0
43,BEN,2016,2843000000.0,3800000000.0,938000000.0,2726000000.0,790000000.0,182000000.0,1500000000.0,3658000000.0,141000000.0,0.0,16578000000.0,6711000.0,5942000.0,7662000.0,7416000.0,6745000.0,8293000.0,8060000.0,7837000.0,8351000.0,5603000.0,4188000.0,7457000.0
44,BEN,2017,2921000000.0,3847000000.0,962000000.0,2836000000.0,797000000.0,186000000.0,1534000000.0,4807000000.0,142000000.0,0.0,18032000000.0,7328000.0,6471000.0,8599000.0,7711000.0,6967000.0,8731000.0,9178000.0,8923000.0,9520000.0,6406000.0,4783000.0,8634000.0
45,BFA,2003,371000000.0,1652000000.0,60000000.0,10696000000.0,48000000.0,32000000.0,106000000.0,219000000.0,247000000.0,0.0,13431000000.0,4715000.0,3749000.0,5878000.0,6549000.0,5445000.0,7940000.0,13588000.0,12856000.0,14531000.0,6978000.0,5489000.0,8799000.0
