year,rcpt,std
2003,AFG,11808.0
2003,AGO,6917210.899999998
2003,ALB,730441.0
2003,ARG,3267764.08
2003,ARM,1562971.7000000002
2003,AZE,24000.0
2003,BDI,4791330.923
2003,BEN,7034906.0
2003,BFA,8351450.034000003
2003,BGD,1244356.9000000001
2003,BIH,66497.6999999999
2003,BLZ,75000.0
2003,BOL,1012679.2600000001
2003,BRA,12557137.799999999
2003,BRB,1172110.0
2003,BTN,0.0
2003,BWA,12184446.100000001
2003,CAF,2264665.2
2003,CHL,3563430.0000000005
2003,CHN,15108582.58
2003,CIV,11631979.309999997
2003,CMR,4985933.8
2003,COD,15619704.905000001
2003,COG,1260332.33
2003,COL,0.0
2003,COM,47039.0
2003,CPV,1062295.7
2003,CRI,150000.0
2003,CUB,5026033.44
2003,DJI,615602.0
2003,DOM,4547922.100000001
2003,DZA,3298.0
2003,ECU,291744.89999999997
2003,EGY,1220006.4
2003,ERI,3996776.5
2003,ETH,44322826.93999999
2003,FJI,142453.63999999998
2003,FSM,0.0
2003,GAB,199432.69999999998
2003,GEO,935757.6
2003,GHA,11765301.799999999
2003,GIN,8290672.110000001
2003,GMB,1719411.6999999997
2003,GNB,558294.4
2003,GNQ,52503.2
2003,GRD,65095.489999999896
2003,GTM,2607702.0
2003,GUY,3559785.0
2003,HND,5727683.0
2003,HRV,1113000.0
2003,HTI,23026231.599999998
2003,IDN,13389140.850000001
2003,IND,34653191.050000004
2003,IRN,110000.0
2003,IRQ,54480.0
2003,JAM,2265897.9999999995
2003,JOR,509297.45
2003,KAZ,1604317.4
2003,KEN,66720041.660000004
2003,KGZ,159000.0
2003,KHM,27180649.599999998
2003,KNA,60112.5
2003,LAO,1409237.3
2003,LBN,32176.000000000004
2003,LBR,411629.33
2003,LCA,0.0
2003,LKA,457703.6
2003,LSO,2091233.9000000001
2003,MAR,2433017.9
2003,MDA,1485915.0
2003,MDG,4296361.999999999
2003,MDV,0.0
2003,MEX,1534953.4
2003,MKD,48000.0
2003,MLI,4189571.41
2003,MMR,7847345.1
2003,MNG,784480.0
2003,MOZ,20585114.28
2003,MRT,107720.0
2003,MUS,0.0
2003,MWI,17912736.700000003
2003,MYS,121807.65000000001
2003,NAM,11261467.9
2003,NER,1662746.6500000001
2003,NGA,43666486.500000015
2003,NIC,3492481.9
2003,NPL,13746077.800000003
2003,OMN,0.0
2003,PAK,2069772.94
2003,PAN,175252.56
2003,PER,1170989.3
2003,PHL,10938816.43
2003,PNG,5951818.850000001
2003,PRK,0.0
2003,PRY,45250.0
2003,PSE,0.0
2003,RWA,17885281.599999998
2003,SDN,782849.1000000002
2003,SEN,8717802.1
2003,SLB,0.0
2003,SLE,999203.0
2003,SLV,572400.48
2003,SOM,737118.3
2003,SRB,1504509.0
2003,STP,0.049999999999999996
2003,SUR,58817.6
2003,SWZ,7473407.3
2003,SYC,654.35
2003,SYR,220367.75
2003,TCD,3700222.8000000003
2003,TGO,4274961.0
2003,THA,14427754.6
2003,TJK,1224124.8000000003
2003,TKM,273000.0
2003,TLS,56034.0
2003,TON,0.0
2003,TTO,589451.6
2003,TUN,93558.85
2003,TUR,30525.0
2003,TZA,44693022.85
2003,UGA,34220878.80000001
2003,URY,0.0
2003,UZB,4918316.087
2003,VEN,83255.6
2003,VNM,7995950.100000001
2003,VUT,0.0
2003,WSM,0.0
2003,YEM,215188.0
2003,ZAF,50368406.55999997
2003,ZMB,36463107.21999999
2003,ZWE,21491897.536000006
2004,AFG,0.0
2004,AGO,12347002.700000001
2004,ALB,767133.0000000002
2004,ARG,5357977.65
2004,ARM,1315389.7000000002
2004,AZE,17845.300000000003
2004,BDI,9523591.0
2004,BEN,13570611.78
2004,BFA,12729803.36
2004,BGD,11739714.700000001
2004,BIH,73000.0
2004,BLZ,417580.0
2004,BOL,3454640.4000000004
2004,BRA,13214606.6
2004,BRB,626127.0
2004,BTN,151573.0
2004,BWA,30299138.72000001
2004,CAF,6011862.96
2004,CHL,7955979.999999999
2004,CHN,26143825.338
2004,CIV,18116406.22
2004,CMR,13924443.880000005
2004,COD,13906750.700000003
2004,COG,3953746.5
2004,COL,650300.8500000001
2004,COM,468952.0
2004,CPV,3179086.9000000004
2004,CRI,1461600.0
2004,CUB,6594088.1
2004,DJI,608710.9
2004,DOM,10228867.84
2004,DZA,1611250.0
2004,ECU,215146.61
2004,EGY,1902306.1
2004,ERI,11109182.43
2004,ETH,53808794.300000004
2004,FJI,176313.0
2004,GAB,1154054.0
2004,GEO,427000.0000000001
2004,GHA,31415659.900000002
2004,GIN,8600811.499999998
2004,GMB,5078975.0
2004,GNB,469379.0
2004,GNQ,103009.4
2004,GRD,27557.3
2004,GTM,1821703.0
2004,GUY,7279000.000000001
2004,HND,11748462.41
2004,HRV,475709.9999999999
2004,HTI,32269647.799999993
2004,IDN,17369592.610000003
2004,IND,53735444.79000001
2004,IRN,1731.19
2004,IRQ,0.0
2004,JAM,4029672.5
2004,JOR,1165020.0000000002
2004,KAZ,3423976.0
2004,KEN,104543552.88900009
2004,KGZ,2593728.71
2004,KHM,34049256.89999998
2004,KNA,5216.26
2004,LAO,1715472.9999999998
2004,LBN,0.0
2004,LBR,1832192.8
2004,LCA,0.0
2004,LKA,104333.0
2004,LSO,4626275.8
2004,MAR,2175303.0
2004,MDA,2523922.9
2004,MDG,13616748.0
2004,MDV,0.0
2004,MEX,2063000.0000000002
2004,MKD,1294052.1
2004,MLI,9050368.799999997
2004,MMR,11255929.200000001
2004,MNG,693432.6
2004,MOZ,67851101.29000002
2004,MRT,943469.1
2004,MUS,24790.199999999997
2004,MWI,54484596.87000001
2004,MYS,70050.9
2004,NAM,24090272.899999995
2004,NER,6206689.2
2004,NGA,72025271.4
2004,NIC,11166875.9
2004,NPL,16606966.25
2004,PAK,8127035.5
2004,PAN,0.0
2004,PER,5850392.100000001
2004,PHL,18722867.800000004
2004,PNG,10632735.690000001
2004,PRK,0.0
2004,PRY,154037.5
2004,PSE,0.0
2004,RWA,41121682.25499999
2004,SDN,2342592.51
2004,SEN,14202359.799999999
2004,SLB,0.0
2004,SLE,1287278.0
