Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.05,,0.02 ,0.01 , 0.05,,0.02 ,0.01 , 0.05,,0.02 ,0.01 , 0.06,,0.02 ,0.01 , 0.06,,0.03 ,0.01 , 0.06,,0.03 ,0.01 , 0.07,,0.03 ,0.01 , 0.07,,0.03 ,0.01 , 0.07,,0.03 ,0.01 , 0.08,,0.03 ,0.02 , 0.09,,0.04 ,0.02 , 0.10,,0.04 ,0.02 , 0.11,,0.04 ,0.02 , 0.12,,0.04 ,0.02 , 0.13,,0.04 ,0.02 , 0.14,,0.04 ,0.02 , 0.15,,0.05 ,0.02 , 0.17,,0.05 ,0.02 , 0.18,,0.05 ,0.02 , 0.20,,0.05 ,0.01 , 0.20,
Albania,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication."
Algeria,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,
Angola,0.53 ,0.29 , 0.87,,0.65 ,0.35 , 1.02,,0.79 ,0.44 , 1.23,,0.92 ,0.52 , 1.38,,1.08 ,0.60 , 1.59,,1.24 ,0.68 , 1.77,,1.39 ,0.78 , 1.97,,1.58 ,0.87 , 2.17,,1.71 ,0.95 , 2.33,,1.90 ,1.10 , 2.57,,2.05 ,1.14 , 2.74,,2.13 ,1.21 , 2.89,,2.23 ,1.27 , 2.95,,2.32 ,1.29 , 3.05,,2.38 ,1.35 , 3.14,,2.37 ,1.31 , 3.17,,2.38 ,1.32 , 3.16,,2.29 ,1.25 , 3.04,,2.25 ,1.26 , 3.01,,2.17 ,1.24 , 2.88,,2.07 ,1.19 , 2.77,,1.98 ,1.17 , 2.72,,1.89 ,1.14 , 2.57,,1.78 ,1.11 , 2.47,,1.64 ,1.02 , 2.28,,1.51 ,0.94 , 2.12,,1.42 ,0.88 , 2.05,,1.37 ,0.84 , 1.95,,1.29 ,0.77 , 1.87,,1.21 ,0.73 , 1.77,,1.14 ,0.69 , 1.68,
Argentina,0.11 ,0.08 , 0.13,,0.13 ,0.10 , 0.16,,0.16 ,0.13 , 0.19,,0.18 ,0.15 , 0.22,,0.21 ,0.17 , 0.24,,0.17 ,0.14 , 0.20,,0.20 ,0.17 , 0.24,,0.20 ,0.17 , 0.24,,0.20 ,0.16 , 0.23,,0.19 ,0.15 , 0.22,,0.18 ,0.15 , 0.21,,0.18 ,0.15 , 0.20,,0.17 ,0.15 , 0.20,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.19,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.20,,0.17 ,0.14 , 0.19,,0.17 ,0.14 , 0.19,,0.17 ,0.14 , 0.19,,0.16 ,0.13 , 0.19,,0.16 ,0.13 , 0.19,,0.16 ,0.13 , 0.19,,0.16 ,0.13 , 0.19,,0.15 ,0.12 , 0.19,,0.15 ,0.12 , 0.18,,0.15 ,0.12 , 0.18,
Armenia,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.10,,0.03 ,0.01 , 0.14,,0.06 ,0.02 , 0.19,,0.09 ,0.04 , 0.22,,0.12 ,0.06 , 0.23,,0.15 ,0.09 , 0.26,,0.19 ,0.13 , 0.27,,0.22 ,0.15 , 0.30,,0.24 ,0.17 , 0.32,,0.25 ,0.18 , 0.31,,0.23 ,0.18 , 0.29,,0.21 ,0.16 , 0.26,,0.18 ,0.14 , 0.22,,0.15 ,0.12 , 0.19,,0.13 ,0.11 , 0.16,,0.11 ,0.09 , 0.14,,0.10 ,0.08 , 0.12,,0.10 ,0.08 , 0.12,,0.10 ,0.08 , 0.12,,0.10 ,0.08 , 0.12,,0.10 ,0.08 , 0.12,,0.11 ,0.09 , 0.13,,0.11 ,0.09 , 0.14,,0.12 ,0.09 , 0.15,,0.12 ,0.09 , 0.15,,0.13 ,0.10 , 0.16,
Australia,0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.05,,0.03 ,<0.01 , 0.08,,0.04 ,<0.01 , 0.13,,0.06 ,0.01 , 0.24,,0.09 ,0.02 , 0.34,,0.11 ,0.03 , 0.33,,0.14 ,0.04 , 0.32,,0.16 ,0.07 , 0.30,,0.16 ,0.07 , 0.26,,0.15 ,0.08 , 0.25,,0.14 ,0.07 , 0.23,,0.12 ,0.06 , 0.22,,0.12 ,0.07 , 0.23,,0.11 ,0.07 , 0.22,,0.10 ,0.06 , 0.19,,0.09 ,0.06 , 0.14,,0.09 ,0.06 , 0.13,,0.08 ,0.05 , 0.11,,0.08 ,0.05 , 0.10,,0.07 ,0.04 , 0.09,,0.07 ,0.04 , 0.09,,0.07 ,0.04 , 0.09,,0.06 ,0.04 , 0.08,,0.06 ,0.03 , 0.08,,0.06 ,0.03 , 0.08,,0.05 ,0.03 , 0.07,,0.05 ,0.03 , 0.07,,0.05 ,0.02 , 0.07,
Bahamas,1.32 ,1.10 , 1.55,"Children estimates were not available at the time of publication.",1.31 ,1.10 , 1.54,"Children estimates were not available at the time of publication.",1.25 ,1.05 , 1.46,"Children estimates were not available at the time of publication.",1.17 ,0.99 , 1.37,"Children estimates were not available at the time of publication.",1.09 ,0.92 , 1.27,"Children estimates were not available at the time of publication.",1.00 ,0.84 , 1.17,"Children estimates were not available at the time of publication.",0.93 ,0.78 , 1.08,"Children estimates were not available at the time of publication.",0.86 ,0.72 , 1.01,"Children estimates were not available at the time of publication.",0.79 ,0.67 , 0.93,"Children estimates were not available at the time of publication.",0.74 ,0.62 , 0.87,"Children estimates were not available at the time of publication.",0.69 ,0.58 , 0.82,"Children estimates were not available at the time of publication.",0.66 ,0.55 , 0.78,"Children estimates were not available at the time of publication.",0.63 ,0.53 , 0.74,"Children estimates were not available at the time of publication.",0.60 ,0.50 , 0.71,"Children estimates were not available at the time of publication.",0.53 ,0.44 , 0.62,"Children estimates were not available at the time of publication.",0.50 ,0.41 , 0.59,"Children estimates were not available at the time of publication.",0.47 ,0.39 , 0.57,"Children estimates were not available at the time of publication.",0.44 ,0.36 , 0.53,"Children estimates were not available at the time of publication.",0.42 ,0.35 , 0.51,"Children estimates were not available at the time of publication.",0.40 ,0.32 , 0.48,"Children estimates were not available at the time of publication.",0.37 ,0.30 , 0.45,"Children estimates were not available at the time of publication.",0.36 ,0.29 , 0.44,"Children estimates were not available at the time of publication.",0.35 ,0.29 , 0.43,"Children estimates were not available at the time of publication.",0.34 ,0.28 , 0.42,"Children estimates were not available at the time of publication.",0.31 ,0.25 , 0.38,"Children estimates were not available at the time of publication.",0.28 ,0.22 , 0.34,"Children estimates were not available at the time of publication.",0.27 ,0.21 , 0.33,"Children estimates were not available at the time of publication.",0.26 ,0.21 , 0.31,"Children estimates were not available at the time of publication.",0.21 ,0.17 , 0.26,"Children estimates were not available at the time of publication.",0.19 ,0.15 , 0.23,"Children estimates were not available at the time of publication.",0.18 ,0.15 , 0.22,"Children estimates were not available at the time of publication."
