Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.01 ,<0.01 , 0.04,,0.01 ,<0.01 , 0.04,,0.01 ,<0.01 , 0.04,,0.01 ,<0.01 , 0.05,,0.01 ,<0.01 , 0.05,,0.01 ,<0.01 , 0.06,,0.02 ,<0.01 , 0.06,,0.02 ,<0.01 , 0.07,,0.02 ,<0.01 , 0.07,,0.02 ,<0.01 , 0.08,,0.02 ,<0.01 , 0.09,,0.02 ,<0.01 , 0.10,,0.02 ,<0.01 , 0.11,,0.02 ,<0.01 , 0.11,
Albania,<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication."
Algeria,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,
Angola,0.16 ,0.06 , 0.43,,0.20 ,0.08 , 0.50,,0.24 ,0.09 , 0.58,,0.28 ,0.12 , 0.65,,0.32 ,0.14 , 0.75,,0.36 ,0.16 , 0.83,,0.41 ,0.18 , 0.92,,0.47 ,0.21 , 1.07,,0.51 ,0.23 , 1.18,,0.56 ,0.25 , 1.31,,0.60 ,0.27 , 1.39,,0.63 ,0.28 , 1.46,,0.65 ,0.29 , 1.50,,0.68 ,0.30 , 1.60,,0.70 ,0.31 , 1.62,,0.70 ,0.30 , 1.63,,0.70 ,0.31 , 1.66,,0.68 ,0.29 , 1.56,,0.67 ,0.28 , 1.61,,0.65 ,0.27 , 1.49,,0.63 ,0.25 , 1.42,,0.60 ,0.23 , 1.36,,0.57 ,0.22 , 1.28,,0.55 ,0.21 , 1.20,,0.50 ,0.19 , 1.07,,0.46 ,0.17 , 0.97,,0.44 ,0.16 , 0.88,,0.42 ,0.15 , 0.83,,0.39 ,0.14 , 0.79,,0.37 ,0.13 , 0.72,,0.35 ,0.12 , 0.69,
Argentina,0.04 ,0.01 , 0.08,,0.05 ,0.01 , 0.09,,0.05 ,0.01 , 0.09,,0.06 ,0.01 , 0.10,,0.06 ,0.02 , 0.10,,0.06 ,0.02 , 0.10,,0.06 ,0.02 , 0.10,,0.06 ,0.02 , 0.10,,0.06 ,0.02 , 0.10,,0.05 ,0.01 , 0.09,,0.05 ,0.01 , 0.09,,0.05 ,0.01 , 0.09,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.09,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.05 ,0.01 , 0.08,,0.04 ,0.01 , 0.08,,0.04 ,0.01 , 0.07,,0.04 ,0.01 , 0.07,,0.04 ,0.01 , 0.07,,0.04 ,0.01 , 0.07,,0.04 ,0.01 , 0.07,,0.05 ,0.02 , 0.08,
Armenia,<0.01,,,,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,<0.01 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.06,,0.03 ,0.02 , 0.07,,0.04 ,0.02 , 0.08,,0.05 ,0.03 , 0.09,,0.06 ,0.04 , 0.10,,0.07 ,0.05 , 0.10,,0.07 ,0.05 , 0.10,,0.07 ,0.05 , 0.10,,0.06 ,0.05 , 0.09,,0.06 ,0.04 , 0.08,,0.05 ,0.03 , 0.07,,0.04 ,0.03 , 0.06,,0.04 ,0.02 , 0.05,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.05,,0.03 ,0.02 , 0.05,,0.03 ,0.02 , 0.05,,0.03 ,0.02 , 0.05,,0.03 ,0.02 , 0.05,,0.04 ,0.02 , 0.05,,0.04 ,0.02 , 0.06,
Australia,0.02 ,<0.01 , 0.04,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.03,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.03,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.08,,0.03 ,<0.01 , 0.11,,0.03 ,<0.01 , 0.11,,0.04 ,0.01 , 0.10,,0.05 ,0.02 , 0.10,,0.05 ,0.03 , 0.09,,0.05 ,0.02 , 0.09,,0.05 ,0.02 , 0.08,,0.04 ,0.02 , 0.08,,0.04 ,0.02 , 0.09,,0.04 ,0.02 , 0.08,,0.04 ,0.02 , 0.07,,0.03 ,0.02 , 0.06,,0.03 ,0.02 , 0.06,,0.03 ,0.02 , 0.05,,0.03 ,0.01 , 0.05,,0.03 ,0.01 , 0.05,,0.03 ,0.01 , 0.05,,0.03 ,0.01 , 0.04,,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.04,,0.02 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,
Bahamas,0.59 ,0.22 , 1.02,"Children estimates were not available at the time of publication.",0.57 ,0.21 , 0.98,"Children estimates were not available at the time of publication.",0.52 ,0.20 , 0.95,"Children estimates were not available at the time of publication.",0.50 ,0.19 , 0.89,"Children estimates were not available at the time of publication.",0.45 ,0.16 , 0.83,"Children estimates were not available at the time of publication.",0.41 ,0.15 , 0.77,"Children estimates were not available at the time of publication.",0.40 ,0.15 , 0.72,"Children estimates were not available at the time of publication.",0.36 ,0.14 , 0.67,"Children estimates were not available at the time of publication.",0.33 ,0.14 , 0.60,"Children estimates were not available at the time of publication.",0.32 ,0.14 , 0.56,"Children estimates were not available at the time of publication.",0.30 ,0.13 , 0.54,"Children estimates were not available at the time of publication.",0.27 ,0.13 , 0.50,"Children estimates were not available at the time of publication.",0.26 ,0.12 , 0.48,"Children estimates were not available at the time of publication.",0.25 ,0.11 , 0.45,"Children estimates were not available at the time of publication.",0.21 ,0.09 , 0.39,"Children estimates were not available at the time of publication.",0.20 ,0.08 , 0.36,"Children estimates were not available at the time of publication.",0.19 ,0.08 , 0.34,"Children estimates were not available at the time of publication.",0.17 ,0.08 , 0.32,"Children estimates were not available at the time of publication.",0.16 ,0.06 , 0.30,"Children estimates were not available at the time of publication.",0.16 ,0.06 , 0.28,"Children estimates were not available at the time of publication.",0.15 ,0.05 , 0.27,"Children estimates were not available at the time of publication.",0.14 ,0.05 , 0.26,"Children estimates were not available at the time of publication.",0.15 ,0.05 , 0.25,"Children estimates were not available at the time of publication.",0.14 ,0.05 , 0.24,"Children estimates were not available at the time of publication.",0.12 ,0.05 , 0.21,"Children estimates were not available at the time of publication.",0.11 ,0.03 , 0.19,"Children estimates were not available at the time of publication.",0.10 ,0.03 , 0.18,"Children estimates were not available at the time of publication.",0.10 ,0.03 , 0.17,"Children estimates were not available at the time of publication.",0.08 ,0.02 , 0.14,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.12,"Children estimates were not available at the time of publication.",0.06 ,0.02 , 0.12,"Children estimates were not available at the time of publication."
