country,medium_estimate_2030
WORLD,8548487.371
UN development groups,
More developed regions,1286009.879
Less developed regions,7262477.492
Least developed countries,1313758.882
"Less developed regions, excluding least developed countries",5948718.61
"Less developed regions, excluding China",5765375.535
Land-locked Developing Countries (LLDC),659182.784
Small Island Developing States (SIDS),78488.177
World Bank income groups,
High-income countries,1298769.714
Middle-income countries,6252578.251
Upper-middle-income countries,2763137.977
Lower-middle-income countries,3489440.274
Low-income countries,993852.817
No income group available,3286.589
Geographic regions,
Africa,1688321.117
Asia,4974091.892
Europe,741302.519
Latin America and the Caribbean,706254.029
Northern America,390598.863
Oceania,47918.951
Sustainable Development Goal (SDG) regions,
SUB-SAHARAN AFRICA,1399888.471
Eastern Africa,569704.991
Burundi,15772.827
Comoros,1063.111
Djibouti,1116.713
Eritrea,4240.216
Ethiopia,144944.302
Kenya,66449.655
Madagascar,35622.312
Malawi,24849.443
Mauritius,1274.036
Mayotte,342.899
Mozambique,41184.834
Réunion,954.814
Rwanda,16234.39
Seychelles,102.538
Somalia,21191.041
South Sudan,13839.272
Uganda,59437.922
United Republic of Tanzania,79162.723
Zambia,24325.502
Zimbabwe,17596.441
Middle Africa,238186.207
Angola,44834.707
Cameroon,33766.113
Central African Republic,5942.207
Chad,21690.376
Congo,7019.835
Democratic Republic of the Congo,120046.72
Equatorial Guinea,1873.551
Gabon,2744.456
Sao Tome and Principe,268.242
Southern Africa,75364.315
Botswana,2774.344
Eswatini,1297.837
Lesotho,2325.171
Namibia,3010.873
South Africa,65956.09
Western Africa,516632.958
Benin,15672.31
Burkina Faso,27404.036
Cabo Verde,610.062
Côte d'Ivoire,33712.604
Gambia,3170.687
Ghana,37833.419
Guinea,17020.912
Guinea-Bissau,2461.208
Liberia,6371.558
Mali,26957.39
Mauritania,5967.176
Niger,34846.019
Nigeria,262977.344
Saint Helena,6.174
Senegal,21551.461
Sierra Leone,9648.679
Togo,10421.919
NORTHERN AFRICA AND WESTERN ASIA,608881.007
Northern Africa,288432.646
Algeria,50360.741
Egypt,120831.556
Libya,7606.414
Morocco,40887.291
Sudan,55253.531
Tunisia,12755.764
Western Sahara,737.349
Western Asia,320448.361
Armenia,2967.01
Azerbaijan,10739.736
Bahrain,2013.419
Cyprus,1274.973
Georgia,3853.301
Iraq,50193.762
Israel,9979.695
Jordan,10655.185
Kuwait,4747.083
Lebanon,6194.842
Oman,5936.083
Qatar,3326.888
Saudi Arabia,39322.336
State of Palestine,6341.724
Syrian Arab Republic,26676.568
Turkey,89157.785
United Arab Emirates,10661.076
Yemen,36406.895
CENTRAL AND SOUTHERN ASIA,2226970.143
Central Asia,83843.3
Kazakhstan,20639.019
Kyrgyzstan,7446.106
Tajikistan,11557.365
Turkmenistan,6782.36
Uzbekistan,37418.45
Southern Asia,2143126.843
Afghanistan,48093.576
Bangladesh,178993.87
Bhutan,842.668
India,1503642.327
Iran (Islamic Republic of),92663.698
Maldives,519.348
Nepal,33389.541
Pakistan,262958.797
